"unique_id","gender","age","home_pc","education","work_status","living_children","age_group","driving_license","car_household_bin","car_access","sl_card","cycle_confidence","peer_commute","peer_commute_bin","commute_lenght_bin","bike_frequency_bin","q10_easy","q11_live_life_as_want","q12_able_to_do_activities","q13_satisfactory_access","lat","lon"
1175,0,37,17155,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with low traffic, without separated bike lane",2,1,0,1,4,4,4,4,59.3536219,17.9828025
1174,1,40,18273,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",2,1,0,1,5,5,5,5,59.3920937,18.0517219
1162,0,41,17464,1,"Employed",0,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",4,1,0,1,5,5,4,5,59.3831152,17.9470618
1159,1,53,13160,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",3,1,1,1,4,5,5,5,59.3049234,18.1492818
1158,1,24,11364,1,"Student",0,"0_29",1,0,"Other access",0,"In areas with low traffic, without separated bike lane",3,1,0,1,4,5,5,4,59.3457716,18.0336478
1157,0,39,12863,1,"Employed",1,"30_59",1,1,"Other access",1,"In areas with high traffic, without separated bike lane",1,1,0,1,5,5,4,4,59.2589169,18.1267314
1155,1,38,11828,1,"Employed",1,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",1,1,0,1,5,5,4,5,59.3145133,18.0697519
1147,1,32,11741,1,"Unemployed",1,"30_59",1,0,"Other access",0,"In areas with low traffic, without separated bike lane",0,0,0,1,5,5,5,5,59.3148632,18.04416
1146,1,52,11736,0,"Employed",1,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",3,1,0,1,5,5,5,5,59.3173127,18.029861
1143,1,26,11825,0,"Employed",0,"0_29",0,0,"No",0,"On separated bike paths",2,1,0,1,4,4,4,4,59.3210754,18.0557627
1132,1,45,13836,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",1,1,1,1,4,4,2,2,59.2635305,18.1964741
1122,1,27,11768,1,"Employed",0,"0_29",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",3,1,0,1,4,5,4,4,59.31396,18.00143
1120,1,62,12360,1,"Employed",1,"60a",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",5,1,1,1,4,4,4,4,59.2586717,18.0960443
1117,1,59,11560,0,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",5,1,1,1,5,5,5,5,59.344133,18.1097
1097,1,37,16856,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",2,1,0,1,3,5,4,4,59.3457819,17.9105799
1083,0,24,11127,1,"Student",0,"0_29",1,0,"No",1,"In areas with high traffic, without separated bike lane",2,1,0,1,5,5,5,5,59.3239744,18.0695198
1080,1,37,11261,1,"Employed",0,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",2,1,0,1,5,5,5,5,59.3252117,18.0077564
1075,1,50,13839,0,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",0,0,0,1,3,4,5,3,59.2521797,18.1924918
1066,1,29,16744,1,"Employed",0,"0_29",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",2,1,0,1,5,5,5,5,59.3358514,17.9763592
1053,1,54,11264,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",4,1,0,1,5,5,5,5,59.3226326,18.0069155
1052,1,54,13671,0,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",1,1,0,0,2,2,2,2,59.1932809,18.1868712
1040,1,59,13245,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with low traffic, without separated bike lane",1,1,1,1,5,5,5,5,59.3106567,18.2614295
1032,1,35,11768,1,"Employed",0,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",4,1,0,1,4,2,2,4,59.31396,18.00143
1029,1,30,14158,0,"Employed",0,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",0,0,0,1,4,4,4,4,59.2150901,17.9570519
1025,1,28,11867,0,"Employed",0,"0_29",0,0,"No",0,"In areas with high traffic, without separated bike lane",1,1,0,1,4,4,4,4,59.3100607,18.0591472
1024,1,40,12571,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with low traffic, without separated bike lane",2,1,1,0,4,5,3,4,59.2844019,18.0316738
1015,0,32,12842,1,"Employed",0,"30_59",1,0,"No",1,"In areas with low traffic, without separated bike lane",2,1,1,0,4,4,4,4,59.2746529,18.1264185
1010,0,54,11221,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",1,1,0,1,5,5,5,5,59.3283826,18.0458242
1005,1,35,11248,1,"Employed",0,"30_59",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",2,1,0,1,4,2,3,4,59.3373443,18.030683
992,0,28,12841,0,"Employed",0,"0_29",0,0,"No",0,"In areas with high traffic, without separated bike lane",4,1,0,1,5,4,4,4,59.2780024,18.1242938
986,1,42,11245,1,"Employed",1,"30_59",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",1,1,0,1,4,5,3,4,59.3348356,18.0279161
984,1,50,18742,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",1,1,1,1,4,4,4,4,59.4413718,18.0126692
982,1,29,12629,1,"Employed",0,"0_29",1,0,"No",0,"In areas with high traffic, without separated bike lane",3,1,0,1,5,5,4,4,59.2967029,18.0013571
978,1,23,17070,0,"Student",0,"0_29",1,0,"Other access",0,"In areas with low traffic, without separated bike lane",2,1,0,1,5,5,2,4,59.3827398,18.0273498
966,1,31,11221,1,"Employed",0,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",3,1,0,1,5,5,5,5,59.3283826,18.0458242
962,1,56,13246,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",1,1,1,1,3,5,4,4,59.3041558,18.2684785
953,1,45,11242,1,"Employed",0,"30_59",1,0,NA,1,"In areas with low traffic, without separated bike lane",1,1,1,1,3,3,3,3,59.3323368,18.0306488
940,1,31,17151,1,"Employed",0,"30_59",1,1,"Own",0,"In areas with low traffic, without separated bike lane",2,1,0,1,3,4,3,4,59.3101084,17.9128317
929,0,60,13138,1,"Employed",0,"60a",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",1,1,0,1,5,5,5,5,59.3053875,18.1449212
926,1,49,18252,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",1,1,0,1,5,5,5,5,59.3959,18.04625
924,1,49,16845,1,"Employed",1,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",1,1,0,1,5,5,5,5,59.3447352,17.8837905
916,1,34,11265,1,"Employed",0,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",2,1,0,1,5,5,4,4,59.3183226,17.989148
915,0,33,11265,1,"Employed",0,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",2,1,0,1,5,5,5,5,59.3183226,17.989148
908,1,34,16840,1,"Employed",0,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",2,1,1,1,3,2,2,3,59.33094,17.91454
899,1,29,11248,1,"Employed",0,"0_29",1,0,"No",0,"In areas with high traffic, without separated bike lane",3,1,1,0,3,4,4,5,59.3373443,18.030683
892,1,31,11532,1,"Employed",0,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",1,1,0,1,4,4,4,4,59.34314,18.09197
885,1,30,12933,1,"Employed",0,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",2,1,1,1,5,5,5,5,59.3003965,17.9845609
877,1,31,16953,1,"Employed",0,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",3,1,0,1,5,5,5,5,59.3645926,18.0010552
873,0,42,12050,0,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",1,1,1,1,5,5,5,5,59.2946098,18.0609967
872,0,23,11419,0,"Student",0,"0_29",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",1,1,0,1,5,3,2,3,59.3564052,18.0572821
867,1,53,14636,0,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",1,1,1,1,5,5,5,5,59.1995909,17.9163294
858,0,28,11248,1,"Employed",0,"0_29",1,0,"No",0,"In areas with low traffic, without separated bike lane",0,0,0,1,5,5,5,5,59.3373443,18.030683
851,1,39,18235,0,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",0,0,0,1,4,4,4,2,59.4127826,18.0060794
847,1,37,19265,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with low traffic, without separated bike lane",1,1,1,1,5,5,5,5,59.45483,17.9834
839,0,30,11727,1,"Employed",0,"30_59",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",3,1,0,1,4,4,4,4,59.3182042,18.0473477
834,1,39,12260,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",3,1,1,0,4,5,5,4,59.2694263,18.0791958
832,1,39,11829,1,"Employed",1,"30_59",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",1,1,1,1,5,5,5,5,59.312131,18.0689176
824,0,50,16940,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with low traffic, without separated bike lane",3,1,1,0,5,5,5,4,59.3681919,17.9821057
818,1,41,12845,1,"Employed",0,"30_59",1,1,"Own",0,"In areas with low traffic, without separated bike lane",3,1,1,1,5,5,4,4,59.2763222,18.1341971
814,1,41,17464,1,"Employed",0,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",1,1,1,1,4,5,4,3,59.3831152,17.9470618
807,1,40,17568,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",2,1,1,0,4,4,3,3,59.3921263,17.8424251
805,1,22,13153,0,"Student",0,"0_29",1,1,"No",1,"In areas with high traffic, without separated bike lane",2,1,1,0,3,4,3,4,59.3103532,18.1645917
801,1,52,14141,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",0,0,1,1,3,3,1,2,59.2562492,17.9714285
785,1,40,12838,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with low traffic, without separated bike lane",2,1,0,1,5,5,4,5,59.2741348,18.1150752
782,0,19,11417,0,"Student",0,"0_29",0,0,"No",1,"In areas with high traffic, without separated bike lane",2,1,0,1,4,4,4,3,59.3697011,18.0634601
778,1,20,11417,0,"Student",0,"0_29",1,0,"Other access",1,"In areas with low traffic, without separated bike lane",1,1,0,1,5,3,2,3,59.3697011,18.0634601
772,1,20,11621,0,"Student",0,"0_29",1,0,"No",0,"On separated bike paths",3,1,0,1,5,5,5,5,59.3150215,18.0744369
771,1,32,18167,1,"Student",0,"30_59",0,1,"Own",0,"In areas with high traffic, without separated bike lane",1,1,1,1,4,4,4,5,59.3521451,18.2082723
760,0,33,12341,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",3,1,1,1,4,5,4,4,59.2434495,18.0967101
746,0,32,11756,1,"Employed",1,"30_59",0,0,"Other access",0,"In areas with high traffic, without separated bike lane",3,1,0,1,5,5,5,5,59.3044814,18.0311982
734,1,46,11661,0,"Employed",1,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",5,1,0,1,4,5,4,5,59.3083776,18.079488
729,1,31,11421,1,"Employed",0,"30_59",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",4,1,0,1,5,5,5,5,59.3510943,18.0629837
727,1,35,13561,0,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",4,1,1,1,4,3,2,3,59.2462419,18.2739198
726,1,36,12938,1,"Employed",1,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",3,1,1,1,4,4,4,4,59.3010711,17.9703893
713,0,45,12343,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with low traffic, without separated bike lane",1,1,0,1,4,5,4,4,59.2401577,18.1049022
708,0,38,16244,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",1,1,1,0,4,3,4,3,59.3767277,17.8631979
705,0,42,16737,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",0,0,0,1,4,4,4,4,59.3390186,17.9823164
696,1,53,17159,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",1,1,0,1,4,4,3,4,59.3512884,18.0011939
688,1,32,19476,1,"Employed",0,"30_59",1,0,"Other access",1,"In areas with high traffic, without separated bike lane",2,1,1,1,5,5,5,5,59.519945,17.9059942
687,1,54,12571,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",3,1,1,1,4,5,5,5,59.2844019,18.0316738
682,0,43,17163,1,"Employed",1,"30_59",1,1,"Own",1,"In areas with high traffic, without separated bike lane",2,1,1,1,5,4,4,3,59.3541476,17.9999053
670,1,45,16859,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",1,1,0,1,5,5,5,5,59.3553641,17.9156307
666,1,52,44350,1,"Employed",1,"30_59",1,1,"Own",1,"In areas with high traffic, without separated bike lane",0,0,1,1,5,2,3,4,NA,NA
665,0,36,11266,1,"Employed",0,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",2,1,0,1,5,5,5,4,59.3208232,17.9852404
660,0,44,11766,1,"Employed",1,"30_59",1,1,"Other access",0,"On separated bike paths",3,1,0,0,5,5,5,5,59.3160232,18.0136192
657,0,29,11246,1,"Employed",0,"0_29",1,1,"Own",0,"In areas with high traffic, without separated bike lane",3,1,0,1,5,5,4,4,59.3360934,18.0317305
650,1,24,17070,1,"Student",0,"0_29",1,1,"Own",1,"In areas with high traffic, without separated bike lane",3,1,0,1,2,2,2,2,59.3827398,18.0273498
644,1,48,17155,1,"Employed",1,"30_59",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",3,1,0,1,5,5,5,4,59.3536219,17.9828025
637,0,22,12135,1,"Student",0,"0_29",1,1,"No",0,"In areas with low traffic, without separated bike lane",1,1,1,1,4,5,2,4,59.2925691,18.089268
635,1,33,12132,1,"Employed",0,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",2,1,0,1,5,5,5,5,59.2894228,18.0921649
618,1,33,11635,1,"Employed",1,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",3,1,0,0,5,5,5,5,59.3139812,18.0857834
607,0,28,12360,1,"Employed",0,"0_29",1,1,"Own",0,"In areas with high traffic, without separated bike lane",5,1,1,1,5,5,4,5,59.2586717,18.0960443
602,0,39,18230,1,"Employed",0,"30_59",0,0,"No",0,"In areas with low traffic, without separated bike lane",2,1,0,0,5,5,5,4,59.3881643,18.0393075
598,1,42,14152,1,"Employed",1,"30_59",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",3,1,1,1,5,5,5,5,59.2178104,17.9376187
597,1,54,18157,1,"Employed",1,"30_59",1,1,"Other access",1,"In areas with low traffic, without separated bike lane",1,1,1,0,5,5,5,5,59.3506708,18.1675254
